id,longitude,latitude,calls
1,-3.260397,6.906417,13389
2,-3.63229,6.907771,54497
3,-3.397551,6.426104,23252
4,-3.662953,6.6608,40979
5,-3.440788,6.937723,102520
6,-3.291995,6.328551,176027
7,-3.366372,7.182663,22727
8,-3.498494,7.166416,49593
9,-3.149608,7.015214,77666
10,-3.787625,6.209023,155421
11,-3.953336,5.947493,36206
12,-4.023325,6.321925,24766
13,-3.839996,6.47276,87927
14,-4.018499,5.876154,307
15,-3.80061,5.94627,830
16,-3.570096,6.069357,115677
17,-4.344698,6.077307,44763
18,-4.513142,5.846961,4477
19,-4.105984,6.101675,17733
20,-4.400224,6.194517,27826
21,-4.038918,5.654023,13351
22,-5.723872,7.052564,1144840
23,-6.055082,6.602947,25642
24,-5.844579,6.635363,322227
25,-5.636775,6.651568,29843
26,-6.037546,6.896568,145066
27,-5.50027,6.723468,44425
28,-6.111412,7.448124,417712
29,-5.539035,7.657708,328185
30,-5.606104,7.493205,6336
31,-5.476948,7.914011,20169
33,-4.315782,8.37972,43145
34,-4.13754,8.081339,17858
35,-4.530515,8.018313,31538
36,-4.375863,7.960166,11173
37,-4.750311,8.371633,23637
39,-4.938431,7.791673,1837930
40,-4.701989,7.714015,61114
41,-5.166847,7.838461,61758
42,-5.277931,7.695516,3127
43,-5.300993,7.934304,30223
44,-5.102958,7.457994,32254
45,-4.908034,8.106257,1291
46,-5.232071,8.319269,6591
47,-5.598895,8.725664,58121
48,-5.181111,9.163139,107690
50,-5.308574,7.450059,184019
52,-5.190957,7.136901,438734
53,-5.229103,6.527132,87748
54,-5.112736,6.417422,15774
55,-5.026409,6.699474,20825
56,-5.148486,6.919306,149211
57,-4.884319,7.225912,10099
58,-5.337015,6.823865,3291423
59,-3.636521,5.654811,82104
60,-4.002729,5.334637,61413545
61,-3.844322,5.357087,157302
62,-3.701841,5.401422,250
63,-4.242893,5.414191,3598
64,-4.066367,5.517012,182705
65,-4.559908,5.238031,47794
66,-4.535666,5.406788,162759
67,-4.541333,5.65778,47493
68,-4.998122,5.365156,73843
69,-4.754623,5.984212,351025
70,-5.072439,6.204175,9222
71,-7.136376,7.570488,11117
73,-7.183199,7.316389,78045
74,-7.344393,7.405325,7268
75,-7.590199,7.451152,500367
76,-7.465907,7.267746,159
77,-7.622609,7.142829,25358
78,-7.809244,7.29192,10106
79,-8.177766,6.958076,236372
80,-8.291545,6.722375,20762
82,-7.47543,7.003247,28450
84,-8.184913,7.423305,198847
85,-7.982719,7.195188,36874
86,-7.199843,7.074423,27813
89,-5.69819,9.562844,529610
90,-5.991164,9.61897,255
91,-5.836502,8.866821,109990
92,-5.935291,10.036309,96259
93,-6.103258,9.147285,11888
94,-5.395215,9.534156,215
95,-5.428445,9.297756,668
96,-5.573247,9.07583,2074
97,-6.409845,10.464733,42369
99,-6.267314,10.360861,1474
100,-6.648476,9.828754,1908
101,-6.499432,9.395949,144756
102,-6.219072,9.834516,11199
103,-6.373818,10.043771,22622
104,-6.543058,10.023793,1503
106,-5.183377,9.715982,93351
107,-4.40018,9.15017,17515
108,-5.178596,10.085256,176010
109,-5.499455,10.016412,5101
110,-5.647915,10.288608,406651
113,-7.401403,8.526491,115662
114,-7.776136,8.902044,9570
115,-5.871374,5.312645,133149
116,-6.190251,5.218782,1023041
117,-6.516798,5.909302,1170633
118,-6.375626,5.687274,330574
119,-7.421456,4.591678,616003
120,-7.290662,5.209427,406323
121,-7.030853,4.860817,1239744
122,-6.672368,5.087328,3179921
123,-6.774255,5.633484,872475
124,-6.953711,6.186966,807449
125,-6.096103,5.585409,124842
126,-6.583677,6.143608,275974
127,-7.053202,10.102703,4742
128,-7.509028,10.248889,13132
129,-7.270937,9.036604,806
130,-7.575833,9.095466,75
131,-7.613464,9.888806,579
132,-7.486918,9.8748,3164
133,-6.99873,9.679207,71613
134,-7.329525,9.525759,11622
137,-5.924879,5.872124,6028
138,-6.020944,6.013225,419874
139,-5.900705,6.291553,68162
140,-6.24648,6.173249,362843
141,-5.954574,6.44711,79549
142,-5.620666,6.279958,264011
143,-5.465715,6.442563,626439
144,-6.43996,6.914402,976436
145,-6.59335,6.803121,51870
146,-6.868204,6.847144,268405
147,-6.689813,6.998953,2866
148,-6.234244,7.109681,79207
149,-6.248125,6.716154,64381
150,-6.607035,6.419355,494396
151,-6.286847,6.492885,74659
152,-6.49394,6.639638,143
153,-6.859862,6.521636,68631
154,-6.511205,7.506542,438770
155,-6.832057,7.529964,139534
156,-6.903879,7.207536,159951
157,-8.406591,6.499877,2069
158,-7.185864,6.487173,19464
159,-7.375065,6.012926,309696
160,-8.017432,6.587344,115516
161,-8.517804,6.510572,5019
162,-8.432213,6.589037,36612
163,-8.300833,6.486541,1142
164,-7.190068,6.880202,9227
165,-7.391132,6.723418,202006
166,-7.106862,6.700423,32007
167,-3.493922,6.66472,996318
168,-3.24701,7.140284,600456
169,-3.314225,6.673956,329295
170,-4.474721,6.349143,12999
171,-4.330981,6.436791,268342
172,-4.215866,6.706639,884005
173,-4.740074,6.765964,362671
174,-3.911093,7.093113,584292
175,-4.428258,7.010485,283329
176,-3.706524,7.325061,16755
177,-3.794398,7.521328,9683
178,-4.348232,7.55456,131093
179,-3.998962,7.74809,186116
180,-4.251381,7.742958,17248
181,-4.645248,7.294736,30578
182,-5.251963,5.855107,900119
183,-5.283333,5.542426,171136
184,-5.252395,5.302369,58456
185,-5.640117,5.324263,191634
186,-5.231252,6.136609,256334
187,-5.657858,5.837364,209902
188,-5.876765,5.667795,17136
189,-5.646757,6.101505,1207
190,-3.281498,5.460473,446866
191,-3.176211,5.703017,19513
192,-3.526649,5.353724,161436
193,-3.162765,5.995201,334549
194,-2.960406,5.454036,526232
195,-3.182704,5.197232,0
