origin,destination,count
1,167,2
1,8,2
1,169,3
1,5,5
1,9,9
1,168,28
2,13,1
2,172,1
2,60,2
2,169,4
2,233,4
2,5,8
2,174,10
2,167,174
3,13,1
3,138,1
3,16,1
3,235,1
3,167,29
3,6,87
4,172,1
4,198,1
4,212,1
4,60,1
4,169,2
4,5,2
4,233,3
4,13,52
4,167,78
5,10,1
5,169,1
5,174,1
5,233,1
5,60,1
5,9,1
5,7,3
5,168,17
5,8,62
5,167,179
5,1,5
5,2,8
5,4,2
6,60,1
6,169,2
6,193,2
6,167,27
6,16,59
6,235,160
6,3,87
7,223,1
7,235,1
7,9,1
7,168,119
7,5,3
8,172,1
8,179,1
8,223,1
8,225,1
8,39,1
8,176,4
8,167,5
8,168,7
8,174,38
8,1,2
8,5,62
9,225,5
9,168,133
9,1,9
9,5,1
9,7,1
10,143,1
10,168,1
10,179,1
10,212,1
10,22,1
10,235,1
10,255,1
10,39,1
10,64,1
10,12,2
10,15,2
10,172,2
10,19,2
10,167,4
10,60,27
10,11,42
10,13,43
10,233,90
10,16,101
10,5,1
11,235,1
11,59,1
11,21,2
11,255,2
11,64,2
11,13,3
11,16,3
11,15,5
11,14,8
11,60,12
11,10,42
12,16,1
12,169,1
12,174,1
12,19,1
12,60,1
12,255,2
12,13,50
12,10,2
13,16,1
13,186,1
13,20,1
13,39,1
13,64,1
13,169,2
13,172,2
13,255,2
13,60,18
13,167,21
13,233,25
13,2,1
13,3,1
13,4,52
13,10,43
13,11,3
13,12,50
14,255,1
14,60,2
14,11,8
15,10,2
15,11,5
16,167,1
16,19,1
16,198,1
16,193,3
16,60,8
16,233,16
16,235,87
16,3,1
16,6,59
16,10,101
16,11,3
16,12,1
16,13,1
17,60,2
17,20,16
17,255,110
18,67,27
18,255,42
19,60,1
19,255,86
19,10,2
19,12,1
19,16,1
20,171,1
20,234,2
20,255,8
20,170,21
20,13,1
20,17,16
21,59,1
21,60,8
21,64,8
21,255,14
21,11,2
22,117,1
22,140,1
22,142,1
22,150,1
22,160,1
22,164,1
22,166,1
22,173,1
22,174,1
22,200,1
22,233,1
22,29,1
22,30,1
22,43,1
22,44,1
22,52,1
22,75,1
22,154,2
22,229,2
22,69,2
22,27,3
22,56,3
22,122,4
22,148,4
22,25,7
22,39,10
22,50,12
22,60,19
22,144,26
22,24,41
22,254,41
22,28,53
22,26,188
22,58,505
22,10,1
23,122,1
23,151,1
23,26,3
23,149,9
23,141,15
23,24,106
24,117,1
24,118,1
24,142,1
24,148,1
24,151,1
24,240,1
24,253,1
24,52,1
24,150,2
24,27,2
24,144,3
24,149,3
24,39,6
24,26,7
24,60,9
24,138,11
24,143,15
24,58,16
24,25,57
24,141,64
24,22,41
24,23,106
25,138,1
25,142,1
25,150,1
25,250,1
25,40,1
25,50,1
25,52,1
25,60,1
25,141,2
25,27,8
25,143,17
25,58,21
25,22,7
25,24,57
26,146,1
26,150,1
26,154,1
26,250,1
26,39,1
26,52,1
26,60,2
26,149,5
26,58,8
26,148,25
26,144,29
26,22,188
26,23,3
26,24,7
27,124,1
27,143,2
27,58,74
27,22,3
27,24,2
27,25,8
28,150,1
28,151,1
28,207,1
28,210,1
28,211,1
28,58,1
28,229,2
28,144,3
28,60,4
28,154,50
28,148,81
28,254,89
28,22,53
29,122,1
29,150,1
29,253,1
29,41,1
29,58,1
29,50,3
29,254,5
29,42,15
29,30,33
29,207,42
29,31,44
29,39,105
29,22,1
30,39,1
30,254,3
30,50,15
30,22,1
30,29,33
31,117,1
31,209,9
31,253,9
31,39,22
31,43,24
31,29,44
33,209,1
33,222,1
33,250,1
33,252,1
33,60,1
33,179,2
33,36,2
33,253,5
33,35,5
33,39,8
33,34,13
33,37,13
34,253,1
34,35,1
34,39,1
34,218,2
34,36,6
34,179,47
34,33,13
35,40,1
35,178,2
35,180,2
35,36,20
35,39,27
35,33,5
35,34,1
36,179,4
36,180,7
36,39,8
36,33,2
36,34,6
36,35,20
37,253,1
37,39,2
37,45,3
37,33,13
39,101,1
39,117,1
39,134,1
39,138,1
39,150,1
39,151,1
39,165,1
39,167,1
39,182,1
39,187,1
39,193,1
39,198,1
39,218,1
39,240,1
39,79,1
39,122,2
39,142,2
39,143,2
39,180,2
39,211,2
39,212,2
39,230,2
39,233,2
39,53,2
39,96,2
39,110,3
39,144,3
39,200,3
39,57,3
39,107,4
39,181,4
39,208,4
39,69,4
39,173,5
39,250,5
39,45,5
39,91,5
39,108,6
39,179,6
39,47,6
39,56,6
39,175,7
39,232,7
39,106,8
39,46,8
39,48,9
39,229,10
39,174,12
39,252,15
39,249,19
39,209,21
39,42,26
39,43,40
39,89,42
39,178,44
39,52,55
39,60,66
39,253,96
39,58,125
39,44,133
39,41,173
39,50,214
39,40,240
39,8,1
39,10,1
39,13,1
39,22,10
39,24,6
39,26,1
39,29,105
39,30,1
39,31,22
39,33,8
39,34,1
39,35,27
39,36,8
39,37,2
40,174,1
40,178,1
40,41,1
40,58,1
40,60,1
40,249,26
40,25,1
40,35,1
40,39,240
41,118,1
41,160,1
41,232,1
41,50,1
41,60,1
41,42,3
41,43,5
41,29,1
41,39,173
41,40,1
42,60,1
42,58,2
42,50,17
42,29,15
42,39,26
42,41,3
43,143,1
43,60,1
43,89,1
43,209,2
43,253,9
43,22,1
43,31,24
43,39,40
43,41,5
44,142,1
44,249,1
44,58,6
44,52,7
44,50,24
44,22,1
44,39,133
45,253,6
45,37,3
45,39,5
46,252,7
46,253,84
46,39,8
47,211,1
47,246,1
47,94,1
47,96,2
47,89,5
47,230,10
47,252,23
47,91,66
47,39,6
48,108,1
48,253,1
48,106,2
48,60,2
48,96,3
48,95,4
48,89,7
48,107,11
48,252,29
48,39,9
50,250,1
50,58,1
50,60,1
50,52,12
50,22,12
50,25,1
50,29,3
50,30,15
50,39,214
50,41,1
50,42,17
50,44,24
52,122,1
52,125,1
52,174,1
52,250,1
52,69,1
52,175,2
52,255,2
52,60,3
52,249,8
52,56,55
52,58,76
52,57,171
52,22,1
52,24,1
52,25,1
52,26,1
52,39,55
52,44,7
52,50,12
53,54,1
53,60,2
53,250,7
53,58,27
53,143,82
53,39,2
54,106,1
54,58,2
54,143,53
54,250,55
54,53,1
55,173,1
55,56,1
55,60,1
55,58,7
55,250,123
56,173,1
56,60,1
56,250,2
56,172,7
56,58,516
56,22,3
56,39,6
56,52,55
56,55,1
57,175,1
57,58,1
57,249,4
57,39,3
57,52,171
58,119,1
58,130,1
58,150,1
58,151,1
58,165,1
58,171,1
58,178,1
58,186,1
58,187,1
58,209,1
58,211,1
58,233,1
58,237,1
58,253,1
58,254,1
58,70,1
58,78,1
58,117,2
58,133,2
58,172,2
58,207,2
58,249,2
58,141,3
58,154,3
58,174,3
58,142,4
58,182,4
58,229,4
58,175,5
58,89,5
58,138,6
58,255,7
58,69,8
58,122,9
58,144,17
58,173,26
58,143,54
58,60,73
58,250,132
58,22,505
58,24,16
58,25,21
58,26,8
58,27,74
58,28,1
58,29,1
58,39,125
58,40,1
58,42,2
58,44,6
58,50,1
58,52,76
58,53,27
58,54,2
58,55,7
58,56,516
58,57,1
59,235,1
59,61,1
59,62,6
59,192,23
59,64,25
59,60,68
59,11,1
59,21,1
60,107,1
60,124,1
60,125,1
60,126,1
60,134,1
60,149,1
60,155,1
60,159,1
60,171,1
60,184,1
60,207,1
60,217,1
60,218,1
60,222,1
60,226,1
60,231,1
60,238,1
60,247,1
60,251,1
60,254,1
60,65,1
60,70,1
60,77,1
60,84,1
60,92,1
60,106,2
60,154,2
60,156,2
60,165,2
60,197,2
60,209,2
60,219,2
60,234,2
60,237,2
60,242,2
60,253,2
60,68,2
60,119,3
60,121,3
60,142,3
60,150,3
60,170,3
60,178,3
60,196,3
60,227,3
60,232,3
60,252,3
60,62,3
60,79,3
60,140,4
60,187,4
60,228,4
60,229,4
60,235,4
60,75,4
60,120,5
60,123,5
60,193,5
60,169,6
60,175,6
60,220,6
60,223,6
60,179,7
60,117,8
60,168,8
60,185,11
60,190,12
60,69,12
60,116,13
60,182,13
60,89,13
60,172,14
60,212,14
60,143,15
60,138,17
60,250,17
60,233,19
60,173,20
60,144,22
60,66,22
60,174,24
60,63,24
60,67,25
60,122,29
60,192,34
60,167,37
60,198,134
60,255,158
60,61,538
60,64,550
60,2,2
60,4,1
60,5,1
60,6,1
60,10,27
60,11,12
60,12,1
60,13,18
60,14,2
60,16,8
60,17,2
60,19,1
60,21,8
60,22,19
60,24,9
60,25,1
60,26,2
60,28,4
60,33,1
60,39,66
60,40,1
60,41,1
60,42,1
60,43,1
60,48,2
60,50,1
60,52,3
60,53,2
60,55,1
60,56,1
60,58,73
60,59,68
61,198,2
61,59,1
61,60,538
62,59,6
62,60,3
63,255,1
63,64,1
63,65,1
63,67,3
63,60,24
64,167,1
64,173,1
64,187,1
64,198,1
64,67,2
64,255,11
64,10,1
64,11,2
64,13,1
64,21,8
64,59,25
64,60,550
64,63,1
65,144,1
65,67,1
65,60,1
65,63,1
66,67,1
66,122,2
66,255,2
66,60,22
67,171,1
67,182,1
67,250,1
67,69,10
67,255,15
67,18,27
67,60,25
67,63,3
67,64,2
67,65,1
67,66,1
68,121,1
68,167,1
68,255,1
68,185,5
68,60,2
69,122,1
69,143,1
69,146,1
69,185,1
69,138,2
69,250,6
69,255,12
69,22,2
69,39,4
69,52,1
69,58,8
69,60,12
69,67,10
70,250,1
70,186,5
70,58,1
70,60,1
71,74,1
71,73,2
71,75,5
71,156,32
71,155,55
73,237,1
73,74,1
73,76,3
73,156,5
73,75,12
73,86,75
73,71,2
74,156,1
74,75,37
74,71,1
74,73,1
75,108,1
75,120,1
75,121,1
75,122,1
75,162,1
75,166,1
75,198,1
75,230,1
75,146,2
75,156,2
75,240,2
75,113,3
75,155,3
75,243,4
75,80,4
75,237,5
75,79,6
75,82,8
75,165,11
75,242,11
75,144,13
75,85,16
75,84,19
75,77,34
75,76,43
75,78,63
75,248,448
75,22,1
75,60,4
75,71,5
75,73,12
75,74,37
76,144,1
76,248,1
76,77,1
76,73,3
76,75,43
77,144,1
77,82,8
77,60,1
77,75,34
77,76,1
78,122,1
78,79,1
78,89,1
78,85,4
78,247,15
78,58,1
78,75,63
79,122,1
79,144,1
79,165,1
79,237,1
79,248,1
79,85,1
79,162,3
79,247,5
79,160,24
79,80,52
79,84,130
79,39,1
79,60,3
79,75,6
79,78,1
80,162,6
80,75,4
80,79,52
82,144,1
82,165,3
82,86,4
82,247,6
82,236,7
82,75,8
82,77,8
